63107123,0,0,0
2063401473,1593750000,78125000,1671875000
4064449968,2125000000,109375000,2234375000
6065254197,2656250000,125000000,2781250000
8066099889,3078125000,171875000,3250000000
10066908634,3468750000,187500000,3656250000
12067416049,3500000000,187500000,3687500000
14068276520,3500000000,187500000,3687500000
16068923516,3500000000,187500000,3687500000
18069513038,3500000000,187500000,3687500000
20069883336,3500000000,187500000,3687500000
22070098454,3500000000,187500000,3687500000
24070170297,3500000000,187500000,3687500000
26071009420,3500000000,187500000,3687500000
28072625678,3500000000,187500000,3687500000
30073260768,3500000000,187500000,3687500000
4106,15625000,0,15625000
2000024222,484375000,31250000,515625000
4000248371,812500000,78125000,890625000
6000607585,1125000000,78125000,1203125000
8000802177,1609375000,125000000,1734375000
10000838714,2109375000,125000000,2234375000
12001740649,2140625000,125000000,2265625000
14002102326,2140625000,125000000,2265625000
16002945966,2140625000,125000000,2265625000
18003040388,2140625000,125000000,2265625000
20003074051,2140625000,125000000,2265625000
22003999386,2140625000,125000000,2265625000
24004532665,2140625000,125000000,2265625000
26004725614,2140625000,125000000,2265625000
28005377947,2140625000,125000000,2265625000
30006301640,2140625000,125000000,2265625000
32006926467,2140625000,125000000,2265625000
3694,0,0,0
2000904808,406250000,15625000,421875000
4001636784,750000000,62500000,812500000
6002275569,1093750000,140625000,1234375000
8003087187,1500000000,171875000,1671875000
10003161493,1843750000,187500000,2031250000
12003820394,1875000000,187500000,2062500000
14004363936,1875000000,187500000,2062500000
16004911994,1875000000,187500000,2062500000
18005690770,1875000000,187500000,2062500000
20006013447,1875000000,187500000,2062500000
22006246218,1875000000,187500000,2062500000
24006288092,1875000000,187500000,2062500000
26006723254,1875000000,187500000,2062500000
28007644484,1875000000,187500000,2062500000
30008115362,1875000000,187500000,2062500000
32008263153,1875000000,187500000,2062500000
4926,0,0,0
1999812798,406250000,31250000,437500000
4000084979,843750000,62500000,906250000
6000752912,1234375000,93750000,1328125000
8001016473,1625000000,109375000,1734375000
10001757480,1968750000,140625000,2109375000
12001982861,1984375000,140625000,2125000000
14002096167,1984375000,140625000,2125000000
16002507519,1984375000,140625000,2125000000
18003351158,1984375000,140625000,2125000000
20003644687,1984375000,140625000,2125000000
22004611076,1984375000,140625000,2125000000
24005010111,1984375000,140625000,2125000000
26005315546,1984375000,140625000,2125000000
28006123469,1984375000,140625000,2125000000
30006706012,1984375000,140625000,2125000000
32008174889,1984375000,140625000,2125000000
3284,0,0,0
2000366604,296875000,31250000,328125000
4000425309,671875000,78125000,750000000
6000747165,1093750000,125000000,1218750000
8000690922,1484375000,140625000,1625000000
10001484067,1875000000,156250000,2031250000
12001938934,1890625000,156250000,2046875000
14002082210,1890625000,156250000,2046875000
16002609330,1890625000,156250000,2046875000
18003068303,1890625000,156250000,2046875000
20003294916,1890625000,156250000,2046875000
22003353622,1890625000,156250000,2046875000
24003442707,1890625000,156250000,2046875000
26004095861,1890625000,156250000,2046875000
28004609023,1890625000,156250000,2046875000
30005056912,1890625000,156250000,2046875000
32005077849,1890625000,156250000,2046875000
155630382,0,0,0
2162071601,1625000000,78125000,1703125000
4162493627,2312500000,125000000,2437500000
6163029779,2812500000,156250000,2968750000
8163439899,2984375000,171875000,3156250000
10163477668,3406250000,187500000,3593750000
12163886556,3453125000,203125000,3656250000
14164074168,3453125000,203125000,3656250000
16164708437,3453125000,203125000,3656250000
18164726501,3453125000,203125000,3656250000
20165170694,3453125000,203125000,3656250000
22165417013,3453125000,203125000,3656250000
24165432202,3453125000,203125000,3656250000
26165759395,3453125000,203125000,3656250000
28166403106,3453125000,203125000,3656250000
30167323926,3453125000,203125000,3656250000
2874,0,0,0
1999596038,328125000,0,328125000
3999855083,609375000,46875000,656250000
6000760302,953125000,93750000,1046875000
8001135937,1296875000,125000000,1421875000
10001438909,1578125000,140625000,1718750000
12002186074,1640625000,140625000,1781250000
14002207421,1640625000,140625000,1781250000
16003062967,1640625000,140625000,1781250000
18003899627,1640625000,140625000,1781250000
20004315084,1640625000,140625000,1781250000
22004903374,1640625000,140625000,1781250000
24004825784,1640625000,140625000,1781250000
26004843847,1640625000,140625000,1781250000
28005762614,1640625000,140625000,1781250000
30005783140,1640625000,140625000,1781250000
32006081596,1640625000,140625000,1781250000
2463,0,0,0
2000254940,375000000,31250000,406250000
4000988147,703125000,46875000,750000000
6000981168,1109375000,62500000,1171875000
8001312055,1562500000,62500000,1625000000
10001954124,2000000000,93750000,2093750000
12002054294,2015625000,93750000,2109375000
14001975472,2015625000,93750000,2109375000
16002865501,2015625000,93750000,2109375000
18002882744,2015625000,93750000,2109375000
20002988250,2015625000,93750000,2109375000
22003291632,2015625000,93750000,2109375000
24003194336,2015625000,93750000,2109375000
26003295327,2015625000,93750000,2109375000
28003646741,2015625000,93750000,2109375000
30003644277,2015625000,93750000,2109375000
32003638119,2015625000,93750000,2109375000
3695,0,0,0
1999747524,625000000,31250000,656250000
4000084569,1234375000,62500000,1296875000
6000419973,1796875000,140625000,1937500000
8000753734,2421875000,140625000,2562500000
10001098169,2421875000,140625000,2562500000
12001420435,2890625000,171875000,3062500000
14001759943,2890625000,171875000,3062500000
16002089599,2890625000,171875000,3062500000
18002593320,2890625000,171875000,3062500000
20002863859,2890625000,171875000,3062500000
22007734801,2890625000,171875000,3062500000
24009438091,2890625000,171875000,3062500000
26009765694,2890625000,171875000,3062500000
28010103971,2890625000,171875000,3062500000
30010438553,2890625000,171875000,3062500000
32010770672,2890625000,171875000,3062500000
2873,0,0,0
1999970031,390625000,62500000,453125000
4000306255,906250000,78125000,984375000
6000639195,1390625000,78125000,1468750000
8000965567,1859375000,78125000,1937500000
10001314517,2343750000,109375000,2453125000
12001639247,2343750000,109375000,2453125000
14001997229,2343750000,109375000,2453125000
16002327706,2343750000,109375000,2453125000
18002636835,2343750000,109375000,2453125000
20002973470,2343750000,109375000,2453125000
22003315031,2343750000,109375000,2453125000
24003649614,2343750000,109375000,2453125000
26003985838,2343750000,109375000,2453125000
28004315904,2343750000,109375000,2453125000
30004653771,2343750000,109375000,2453125000
32005021606,2343750000,109375000,2453125000
2464,15625000,0,15625000
1999891210,562500000,31250000,593750000
4000228666,1140625000,46875000,1187500000
6000560785,1703125000,78125000,1781250000
8000893314,2234375000,93750000,2328125000
10001230360,2796875000,140625000,2937500000
12001563710,2796875000,140625000,2937500000
14001904040,2796875000,140625000,2937500000
16002233285,2796875000,140625000,2937500000
18002564583,2796875000,140625000,2937500000
20002903270,2796875000,140625000,2937500000
22003255916,2796875000,140625000,2937500000
24003576129,2796875000,140625000,2937500000
26003905785,2796875000,140625000,2937500000
28004260894,2796875000,140625000,2937500000
30004574539,2796875000,140625000,2937500000
32004914458,2796875000,140625000,2937500000
2873,0,0,0
1999730692,546875000,0,546875000
4000061990,1343750000,78125000,1421875000
6000393288,1937500000,109375000,2046875000
8000735670,2406250000,125000000,2531250000
10001073126,2890625000,156250000,3046875000
12001395392,2890625000,156250000,3046875000
14001734490,2890625000,156250000,3046875000
16002079335,2890625000,156250000,3046875000
18002424591,2890625000,156250000,3046875000
20002737826,2890625000,156250000,3046875000
22003091293,2890625000,156250000,3046875000
24003408632,2890625000,156250000,3046875000
26003759225,2890625000,156250000,3046875000
28004082313,2890625000,156250000,3046875000
30004408274,2890625000,156250000,3046875000
32004747372,2890625000,156250000,3046875000
2874,0,0,0
1999621902,531250000,0,531250000
3999951968,1015625000,15625000,1031250000
6002291991,1546875000,15625000,1562500000
8002631910,2015625000,31250000,2046875000
10002960334,2515625000,31250000,2546875000
12003294916,2531250000,31250000,2562500000
14005653002,2531250000,31250000,2562500000
16005988816,2531250000,31250000,2562500000
18006300408,2531250000,31250000,2562500000
20006633348,2531250000,31250000,2562500000
22006967931,2531250000,31250000,2562500000
24007316471,2531250000,31250000,2562500000
26007644484,2531250000,31250000,2562500000
28007993435,2531250000,31250000,2562500000
30008324322,2531250000,31250000,2562500000
32008641252,2531250000,31250000,2562500000
2463,0,0,0
2000406836,484375000,0,484375000
4000760302,921875000,15625000,937500000
6001078053,1312500000,15625000,1328125000
8001411814,1718750000,15625000,1734375000
10001741880,2109375000,15625000,2125000000
12002079747,2109375000,15625000,2125000000
14002433624,2109375000,15625000,2125000000
16002748911,2109375000,15625000,2125000000
18003083904,2109375000,15625000,2125000000
20003418896,2109375000,15625000,2125000000
22003754299,2109375000,15625000,2125000000
24004086008,2109375000,15625000,2125000000
26004419359,2109375000,15625000,2125000000
28004749835,2109375000,15625000,2125000000
30005110692,2109375000,15625000,2125000000
32005429674,2109375000,15625000,2125000000
3284,0,0,0
2000418330,390625000,0,390625000
4000744702,750000000,31250000,781250000
6001100632,1187500000,46875000,1234375000
8001413045,1531250000,62500000,1593750000
10001755427,1968750000,78125000,2046875000
12002082620,1968750000,78125000,2046875000
14002437318,1968750000,78125000,2046875000
16002748911,1968750000,78125000,2046875000
18003083903,1968750000,78125000,2046875000
20003468160,1968750000,78125000,2046875000
22003799868,1968750000,78125000,2046875000
24004185767,1968750000,78125000,2046875000
26004513780,1968750000,78125000,2046875000
28004840152,1968750000,78125000,2046875000
30005185408,1968750000,78125000,2046875000
32005508495,1968750000,78125000,2046875000
4516,0,0,0
1999635039,437500000,31250000,468750000
3999990148,890625000,31250000,921875000
6000300508,1312500000,46875000,1359375000
8000645354,1703125000,46875000,1750000000
10000975420,2093750000,62500000,2156250000
12001325603,2093750000,62500000,2156250000
14001637605,2093750000,62500000,2156250000
16001976293,2093750000,62500000,2156250000
18002318675,2093750000,62500000,2156250000
20002639710,2093750000,62500000,2156250000
22002999334,2093750000,62500000,2156250000
24003315443,2093750000,62500000,2156250000
26003653720,2093750000,62500000,2156250000
